"JD","WT"
1.1,11.045
1.6,11.045
2.1,11.019
2.6,11.019
3.1,11.006
3.6,11.006
4.1,10.993
4.6,10.993
5.1,10.993
5.6,10.993
6.1,10.98
6.6,10.98
7.1,10.98
7.6,10.98
8.1,10.967
8.6,10.967
9.1,10.967
9.6,10.967
10.1,10.967
10.6,10.967
11.1,10.967
11.6,10.967
12.1,10.967
12.6,10.967
13.1,10.967
13.6,10.967
14.1,10.98
14.6,10.98
15.1,10.98
15.6,10.98
16.1,10.993
16.6,10.993
17.1,11.006
17.6,11.006
18.1,11.019
18.6,11.019
19.1,11.032
19.6,11.032
20.1,11.045
20.6,11.045
21.1,11.071
21.6,11.071
22.1,11.084
22.6,11.084
23.1,11.11
23.6,11.11
24.1,11.123
24.6,11.123
25.1,11.149
25.6,11.149
26.1,11.175
26.6,11.175
27.1,11.201
27.6,11.201
28.1,11.227
28.6,11.227
29.1,11.266
29.6,11.266
30.1,11.292
30.6,11.292
31.1,11.318
31.6,11.318
32.1,11.357
32.6,11.357
33.1,11.383
33.6,11.383
34.1,11.422
34.6,11.422
35.1,11.461
35.6,11.461
36.1,11.5
36.6,11.5
37.1,11.526
37.6,11.526
38.1,11.565
38.6,11.565
39.1,11.604
39.6,11.604
40.1,11.643
40.6,11.643
41.1,11.695
41.6,11.695
42.1,11.734
42.6,11.734
43.1,11.773
43.6,11.773
44.1,11.812
44.6,11.812
45.1,11.864
45.6,11.864
46.1,11.903
46.6,11.903
47.1,11.955
47.6,11.955
48.1,11.994
48.6,11.994
49.1,12.046
49.6,12.046
50.1,12.098
50.6,12.098
51.1,12.137
51.6,12.137
52.1,12.189
52.6,12.189
53.1,12.241
53.6,12.241
54.1,12.293
54.6,12.293
55.1,12.345
55.6,12.345
56.1,12.397
56.6,12.397
57.1,12.449
57.6,12.449
58.1,12.501
58.6,12.501
59.1,12.553
59.6,12.553
60.1,12.605
60.6,12.605
61.1,12.657
61.6,12.657
62.1,12.722
62.6,12.722
63.1,12.774
63.6,12.774
64.1,12.839
64.6,12.839
65.1,12.891
65.6,12.891
66.1,12.956
66.6,12.956
67.1,13.021
67.6,13.021
68.1,13.073
68.6,13.073
69.1,13.138
69.6,13.138
70.1,13.203
70.6,13.203
71.1,13.268
71.6,13.268
72.1,13.333
72.6,13.333
73.1,13.398
73.6,13.398
74.1,13.476
74.6,13.476
75.1,13.541
75.6,13.541
76.1,13.606
76.6,13.606
77.1,13.671
77.6,13.671
78.1,13.749
78.6,13.749
79.1,13.814
79.6,13.814
80.1,13.892
80.6,13.892
81.1,13.97
81.6,13.97
82.1,14.035
82.6,14.035
83.1,14.113
83.6,14.113
84.1,14.191
84.6,14.191
85.1,14.269
85.6,14.269
86.1,14.334
86.6,14.334
87.1,14.412
87.6,14.412
88.1,14.49
88.6,14.49
89.1,14.568
89.6,14.568
90.1,14.646
90.6,14.646
91.1,14.724
91.6,14.724
92.1,14.802
92.6,14.802
93.1,14.88
93.6,14.88
94.1,14.958
94.6,14.958
95.1,15.036
95.6,15.036
96.1,15.114
96.6,15.114
97.1,15.205
97.6,15.205
98.1,15.283
98.6,15.283
99.1,15.361
99.6,15.361
100.1,15.439
100.6,15.439
101.1,15.517
101.6,15.517
102.1,15.595
102.6,15.595
103.1,15.686
103.6,15.686
104.1,15.764
104.6,15.764
105.1,15.842
105.6,15.842
106.1,15.933
106.6,15.933
107.1,15.92
107.6,15.92
108.1,16.089
108.6,16.089
109.1,16.18
109.6,16.18
110.1,16.258
110.6,16.258
111.1,16.336
111.6,16.336
112.1,16.427
112.6,16.427
